Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Encontrada;Conta Vinculada
3007628178;000095.000000.000022.000038.000001.000000;False;False;False
3004315268;000095.000000.000021.000000.000000.000000;False;False;False
3004425617;000095.000000.000021.000000.000000.000000;True;False;False
3004389739;000095.000000.000022.000029.000000.000000;False;False;False
Funciona no Hosp. Odilon Behrens;000095.000000.000022.000016.000000.000000;False;False;False
3014571318;000095.000000.000021.000051.000000.000000;False;False;False
3003732812;000095.000000.000018.000065.000000.000000;False;False;False
3004553225;000095.000000.000022.000019.000000.000000;False;False;False
3003732811;000095.000000.000015.000061.000000.000000;False;False;False
Não possui prédio próprio. Funciona na Igreja São Judas Tadeu;000095.000000.000021.000048.000002.000000;False;False;False
3014447893;000095.000000.000022.000030.000000.000000;False;False;False
3015430311;000095.000000.000022.000031.000000.000000;True;False;False
3015777280;000095.000000.000022.000032.000000.000000;False;False;False
3003303204;000095.000000.000019.000052.000000.000000;False;False;False
3014501597;000095.000000.000022.000033.000000.000000;False;False;False
Não possui prédio próprio. Funciona no Parque Santa Sofia;000095.000000.000021.000054.000001.000000;False;False;False
3003302252;000095.000000.000017.000051.000000.000000;False;False;False
3006353479;000095.000000.000020.000058.000000.000000;False;False;False
3003512233;000095.000000.000022.000034.000000.000000;False;False;False
3007719236;000095.000000.000016.000060.000000.000000;False;False;False
3007186588;000095.000000.000016.000061.000000.000000;False;False;False
3005345921;000095.000000.000016.000062.000000.000000;False;False;False
3003302275;000095.000000.000016.000063.000000.000000;False;False;False
3011858237;000095.000000.000016.000064.000000.000000;False;False;False
3007587130;000095.000000.000022.000035.000000.000000;False;False;False
3005727158;000095.000000.000023.000048.000000.000000;False;False;False
3014646521;000095.000000.000020.000059.000000.000000;False;False;False
3005452389;000095.000000.000023.000047.000000.000000;False;False;False
3014535266;000095.000000.000020.000060.000000.000000;False;False;False
3012415195;000095.000000.000022.000036.000000.000000;False;False;False
3014877489;000095.000000.000022.000037.000000.000000;False;False;False
3003320192;000095.000000.000022.000038.000000.000000;False;False;False
3005749320;000095.000000.000022.000039.000000.000000;False;False;False
3005887939;000095.000000.000018.000027.000000.000000;False;False;False
3013516046;000095.000000.000017.000052.000000.000000;False;False;False
3003746984;000095.000000.000021.000046.000000.000000;False;False;False
3002862576;000095.000000.000015.000063.000000.000000;False;False;False
3014535048;000095.000000.000015.000062.000000.000000;False;False;False
3014746204;000095.000000.000021.000043.000000.000000;False;False;False
3011602280;000095.000000.000022.000040.000000.000000;False;False;False
3003303199;000095.000000.000021.000056.000000.000000;False;False;False
3007626732;000095.000000.000021.000053.000000.000000;False;False;False
3006579484;000095.000000.000015.000000.000000.000000;False;False;False
3007717979;000095.000000.000015.000018.000000.000000;False;False;False
3014501611;000095.000000.000021.000050.000000.000000;False;False;False
3005068481;000095.000000.000022.000041.000000.000000;False;False;False
3003303827;000095.000004.000004.000003.000000.000000;False;False;False
3001412368;000095.000000.000019.000053.000000.000000;False;False;False
